id_empleado;fecha_desde;fecha_hasta;id_evento;cantidad;borrable;afecta_vac
11;2015-06-17;2015-06-17;11;1;0;1
8;2015-06-20;2015-06-20;11;1;0;1
2;2015-06-27;2015-06-27;11;1;0;1
13;2015-07-01;2015-07-09;11;9;0;1
9;2015-07-04;2015-07-04;11;1;0;1
7;2015-07-13;2015-07-19;11;7;0;1
14;2015-07-14;2015-07-14;11;1;0;1
10;2015-07-20;2015-07-27;11;8;0;1
1;2015-07-25;2015-08-03;11;10;0;1
3;2015-07-29;2015-08-01;11;4;0;1
8;2015-08-05;2015-08-05;11;1;0;1
3;2015-08-28;2015-09-06;11;10;0;1
8;2015-08-31;2015-08-31;11;1;0;1
13;2015-09-05;2015-09-05;11;1;0;1
2;2015-09-09;2015-09-15;11;7;0;1
9;2015-09-14;2015-09-14;11;1;0;1
1;2015-09-14;2015-10-03;11;20;0;1
7;2015-09-19;2015-10-02;11;14;0;1
7;2015-10-03;2015-10-03;11;1;0;1
11;2015-10-03;2015-10-03;11;1;0;1
7;2015-10-14;2015-10-21;11;8;0;1
10;2015-10-17;2015-10-19;11;3;0;1
2;2015-10-24;2015-10-24;11;1;0;1
9;2015-10-24;2015-10-27;11;4;0;1
5;2015-11-02;2015-11-02;11;1;0;1
10;2015-11-07;2015-11-07;11;1;0;1
7;2015-11-14;2015-11-14;11;1;0;1
2;2015-11-20;2015-11-25;11;6;0;1
9;2015-11-28;2015-11-28;11;1;0;1
1;2015-12-10;2015-12-13;11;4;0;1
7;2015-12-18;2015-12-20;11;3;0;1
9;2015-12-26;2015-12-26;11;1;0;1
5;2015-12-28;2015-12-30;11;3;0;1
10;2015-12-28;2016-01-10;11;14;0;1
8;2016-01-09;2016-01-09;11;1;0;1
10;2016-01-09;2016-01-22;11;14;0;1
7;2016-01-14;2016-01-20;11;7;0;1
2;2016-01-21;2016-01-24;11;4;0;1
3;2016-01-25;2016-02-05;11;12;0;1
5;2016-02-01;2016-02-21;11;21;0;1
8;2016-02-06;2016-02-19;11;14;0;1
11;2016-02-06;2016-02-19;11;14;0;1
12;2016-02-06;2016-02-19;11;14;0;1
13;2016-02-06;2016-02-19;11;14;0;1
7;2016-02-08;2016-02-21;11;14;0;1
2;2016-02-12;2016-02-21;11;10;0;1
14;2016-02-22;2016-03-06;11;14;0;1
2;2016-02-27;2016-02-27;11;1;0;1
8;2016-03-08;2016-03-08;11;1;0;1
9;2016-03-08;2016-03-09;11;2;0;1
10;2016-03-12;2016-03-12;11;1;0;1
7;2016-03-26;2016-03-26;11;1;0;1
3;2016-03-26;2016-03-30;11;5;0;1
2;2016-03-30;2016-03-30;11;1;0;1
11;2016-04-09;2016-04-09;11;1;0;1
2;2016-04-15;2016-04-24;11;10;0;1
1;2016-04-25;2016-05-02;11;8;0;1
7;2016-05-02;2016-05-02;11;1;0;1
9;2016-05-06;2016-05-09;11;4;0;1
10;2016-05-21;2016-05-21;11;1;0;1
9;2016-06-14;2016-06-14;11;1;0;1
7;2016-06-15;2016-06-15;11;1;0;1
1;2016-07-11;2016-07-31;11;21;0;1
7;2016-07-15;2016-07-15;11;1;0;1
5;2016-07-18;2016-07-24;11;7;0;1
3;2016-07-25;2016-07-31;11;7;0;1
2;2016-08-03;2016-08-04;11;2;0;1
9;2016-08-08;2016-08-15;11;8;0;1
7;2016-08-19;2016-08-19;11;1;0;1
13;2016-08-20;2016-08-20;11;1;0;1
1;2016-08-27;2016-08-27;11;1;0;1
5;2016-08-27;2016-08-27;11;1;0;1
7;2016-09-05;2016-09-06;11;2;0;1
14;2016-09-06;2016-09-06;11;1;0;1
9;2016-09-13;2016-09-15;11;3;0;1
2;2016-09-21;2016-09-22;11;2;0;1
1;2016-09-22;2016-09-23;11;2;0;1
5;2016-09-30;2016-10-02;11;3;0;1
3;2016-10-04;2016-10-04;11;1;0;1
7;2016-10-05;2016-10-05;11;1;0;1
1;2016-10-06;2016-10-06;11;1;0;1
9;2016-10-13;2016-10-13;11;1;0;1
10;2016-10-13;2016-10-13;11;1;0;1
2;2016-10-15;2016-10-15;11;1;0;1
3;2016-10-26;2016-10-26;11;1;0;1
7;2016-11-05;2016-11-05;11;1;0;1
13;2016-11-19;2016-11-19;11;1;0;1
2;2016-11-24;2016-11-25;11;2;0;1
5;2016-12-03;2016-12-03;11;1;0;1
8;2016-12-10;2016-12-10;11;1;0;1
14;2016-12-12;2016-12-25;11;14;0;1
11;2016-12-15;2016-12-15;11;1;0;1
9;2016-12-26;2017-01-08;11;14;0;1
12;2017-01-02;2017-01-15;11;14;0;1
7;2017-01-09;2017-01-15;11;7;0;1
3;2017-01-19;2017-02-05;11;18;0;1
11;2017-01-30;2017-02-12;11;14;0;1
5;2017-02-03;2017-02-19;11;17;0;1
2;2017-02-08;2017-02-14;11;7;0;1
5;2017-02-20;2017-02-21;11;2;0;1
7;2017-02-20;2017-03-05;11;14;0;1
13;2017-02-27;2017-03-12;11;14;0;1
2;2017-03-06;2017-03-19;11;14;0;1
8;2017-03-27;2017-04-09;11;14;0;1
1;2017-03-31;2017-04-02;11;3;0;1
3;2017-04-01;2017-04-01;11;1;0;1
1;2017-04-17;2017-04-18;11;2;0;1
13;2017-04-24;2017-04-25;11;2;0;1
9;2017-05-04;2017-05-05;11;2;0;1
7;2017-05-08;2017-05-08;11;1;0;1
5;2017-05-13;2017-05-13;11;1;0;1
1;2017-05-30;2017-06-04;11;6;0;1
2;2017-06-02;2017-06-02;11;1;0;1
1;2017-06-05;2017-06-05;11;1;0;1
9;2017-06-12;2017-06-15;11;4;0;1
5;2017-07-10;2017-07-23;11;14;0;1
10;2017-07-13;2017-07-17;11;5;0;1
2;2017-07-21;2017-07-22;11;2;0;1
7;2017-07-22;2017-07-22;11;1;0;1
9;2017-07-24;2017-07-26;11;3;0;1
3;2017-07-24;2017-07-30;11;7;0;1
2;2017-08-03;2017-08-04;11;2;0;1
11;2017-08-04;2017-08-04;11;1;0;1
8;2017-08-05;2017-08-05;11;1;0;1
14;2017-08-12;2017-08-12;11;1;0;1
10;2017-08-14;2017-08-14;11;1;0;1
7;2017-08-15;2017-08-16;11;2;0;1
9;2017-08-19;2017-08-19;11;1;0;1
5;2017-08-26;2017-08-26;11;1;0;1
2;2017-09-07;2017-09-09;11;3;0;1
9;2017-09-11;2017-09-11;11;1;0;1
10;2017-09-16;2017-09-16;11;1;0;1
1;2017-10-05;2017-10-06;11;2;0;1
2;2017-10-09;2017-10-18;11;10;0;1
10;2017-10-21;2017-10-21;11;1;0;1
9;2017-10-28;2017-10-28;11;1;0;1
3;2017-10-30;2017-11-08;11;10;0;1
2;2017-11-01;2017-11-05;11;5;0;1
7;2017-11-04;2017-11-04;11;1;0;1
9;2017-11-06;2017-11-06;11;1;0;1
11;2017-11-11;2017-11-13;11;3;0;1
14;2017-11-13;2017-11-26;11;14;0;1
1;2017-12-05;2017-12-18;11;14;0;1
8;2017-12-18;2017-12-18;11;1;0;1
1;2017-12-19;2017-12-25;11;7;0;1
10;2017-12-20;2017-12-20;11;1;0;1
9;2017-12-26;2018-01-07;11;13;0;1
8;2018-01-07;2018-01-20;11;14;0;1
10;2018-01-15;2018-01-28;11;14;0;1
